EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
83,1142,3,9/18/2001,7/28/2002,Adult female; < 1 year timeframe; MINOR
84,1130,1,09/06/1997,7/30/1998,Adult male; < 1 year timeframe; MINOR
85,1130,2,8/19/1999,03/01/2000,Adult male; < 6 month timeframe; GEAR; SEVERE
86,1152,1,01/01/1900,8/27/1981,Unknown age male; unknown timeframe; GEAR; MODERATE
87,1155,1,09/07/1989,05/05/2002,Adult male; unknown timeframe; MINOR
88,1158,1,01/01/1900,08/07/1982,Unknown age female; unknown timeframe; MINOR
89,1158,2,09/08/1982,08/09/1989,Adult female; > 3 year timeframe; MINOR
90,1158,3,2/25/1998,7/27/1998,Adult female; < 6 month timeframe; MINOR
91,1158,4,03/03/1999,5/19/1999,Adult female; < 3 month timeframe; GEAR; MODERATE
92,1167,1,9/17/1988,8/28/1989,Adult male; < 1 year timeframe; MINOR
93,1167,2,10/03/1995,08/02/1997,Adult male; < 2 year timeframe; MINOR
94,1167,3,8/25/1997,08/03/1999,Adult male; < 2 year timeframe; MODERATE
95,1167,4,8/20/1999,3/27/2000,Adult male; < 8 month timeframe; GEAR; SEVERE
96,3115,1,9/20/2001,3/31/2002,1 year old female; < 7 month timeframe; MINOR
97,3120,1,12/23/2001,04/07/2002,1 year old male; < 6 month timeframe; GEAR; MODERATE
98,1111,1,01/01/1900,5/21/1981,Unknown age male; unknown timeframe; MINOR
99,1114,1,04/10/1987,08/04/1997,Adult female; > 3 year timeframe; MINOR
100,1118,1,9/22/1981,8/17/1984,7 year old female; < 3 year timeframe; MINOR
101,1120,1,01/01/1900,8/18/1981,Unknown age male; unknown timeframe; MINOR
102,1124,1,01/01/1900,8/13/1980,Unknown age male; unknown timeframe; MINOR
103,1126,1,01/01/1900,8/20/1981,Unknown age male; unknown timeframe: MINOR
104,1126,2,8/27/1984,8/23/1988,Adult male; > 3 year timeframe; MINOR
105,1127,1,8/16/1990,3/28/1994,Adult female; > 3 year timeframe; MINOR
106,1135,1,01/01/1900,8/13/1981,Adult female; unknown timeframe; MINOR
107,1135,2,10/05/1982,08/06/1984,Adult female; < 2 year timeframe; MINOR
108,1135,3,09/03/1984,9/15/1987,Adult female; > 3 year timeframe; MINOR
109,1136,1,08/08/1994,7/28/1996,Adult male; < 2 year timeframe; MINOR
110,1146,1,01/01/1900,8/26/1981,Unknown age male; unknown timeframe; MINOR
111,1146,2,03/11/2000,9/26/2002,Adult male; < 3 year timeframe; MINOR
112,1147,1,01/01/1900,04/12/1977,Unknown age male; unknown timeframe; MINOR
113,1147,2,10/15/1989,10/05/1991,Adult male; < 2 year timeframe; MINOR
114,1153,1,01/01/1900,08/05/1980,"Calf, female; < 1 year timeframe; MINOR"
115,1153,3,8/17/1988,08/08/1994,14 year old female; > 3 year timeframe; MINOR
116,1153,4,08/08/1994,6/27/1997,17 year old female; < 3 year timeframe; MINOR
117,1156,1,9/14/1991,08/03/1994,Adult male; < 3 year timeframe; MINOR
118,1157,1,01/01/1900,8/18/1981,Unknown age female; unknown timeframe; MINOR
119,1157,2,09/08/1981,08/02/1984,Adult female; > 3 year timeframe; MODERATE
120,1179,1,01/01/1900,9/22/1994,Adult female; unknown timeframe; MINOR
121,1170,1,01/01/1900,7/31/1983,2 year old male; < 3 year timeframe; MINOR
122,1170,2,09/02/1985,09/04/1989,8 year old male; > 3 year timeframe; MINOR
123,1170,4,10/03/1997,07/08/2000,19 year old male; < 3 year timeframe; MINOR
124,1168,1,10/13/1982,04/12/1985,Unknown age female; < 3 year timeframe; MINOR
