EGNo,CalvingYear,CalfNo,CalvingInterval
1321,1998,1998CalfOf1321,7
1321,2004,3421,6
1321,2008,3821,4
1321,2014,2014CalfOf1321,6
1334,1983,1983CalfOf1334,
1334,1986,1986CalfOf1334,3
1334,1989,1920,3
1334,1992,1992CalfOf1334,3
1334,1996,1996CalfOf1334,4
1334,2000,2000CalfOf1334,4
1334,2005,2005CalfOf1334,5
1334,2009,3934,4
1334,2013,2013CalfOf1334,4
1405,1997,2705,
1406,1994,2406,
1407,1984,1426,
1407,1989,1907,5
1407,1993,2307,4
1407,2001,3107,8
1408,1996,2608,
1408,2002,3208,6
1408,2005,3508,3
1408,2008,3808,3
1408,2013,4308,5
1412,1984,1984CalfOf1412,
1412,1997,3194,13
1412,2017,2017CalfOf1412,20
1425,1994,2425,
1425,2001,3125,7
1425,2007,3725,6
1425,2014,4425,7
1430,1992,2230,
1430,1997,1997CalfOf1430,5
1430,2002,3296,5
1501,1980,1424,
1501,1985,1985CalfOf1501,5
1503,1995,2503,
1503,2003,3303,8
1503,2006,3603,3
1503,2009,3903,3
1509,1986,1610,
1509,1989,1909,3
1509,1992,2209,3
1509,1997,2709,5
1509,2001,3109,4
1509,2004,3530,3
1515,1985,1985CalfOf1515,
1515,1988,1806,3
1515,1992,1992CalfOf1515,4
1515,1998,1998CalfOf1515,6
1515,2003,2003CalfOf1515,5
1515,2009,3915,6
1515,2017,2017CalfOf1515,8
1601,1997,2701,
1602,1996,2602,
1602,2001,3102,5
1604,1993,2304,
1604,2002,2002CalfOf1604,9
1604,2005,3595,3
1604,2011,2011CalfOf1604,6
1604,2015,4504,4
1608,2003,3308,
1608,2009,3908,6
1611,2001,3111,
1611,2006,3611,5
1611,2009,3950,3
1611,2015,2015CalfOf1611,6
1612,1986,1613,
1612,1992,2212,6
1612,1999,2912,7
1612,2003,3312,4
1612,2009,3994,6
1612,2013,2013CalfOf1612,4
1619,1970,1970CalfOf1619,
1619,1987,1712,17
1619,1990,1990CalfOf1619,3
1620,1996,1996CalfOf1620,
1620,2001,2001CalfOf1620,5
1620,2004,2004CalfOf1620,3
1620,2007,3720,3
1620,2010,4020,3
1620,2015,4520,5
1622,1997,1997CalfOf1622,
1622,2002,3440,5
1622,2005,3522,3
1622,2008,3822,3
1629,1990,2029,
1629,2002,3229,12
1632,2002,3232,
1632,2005,3532,3
1632,2008,3832,3
1632,2013,4332,5
1701,1996,2601,
1701,2001,3101,5
1701,2004,3401,3
1701,2007,3701,3
1701,2010,4001,3
1701,2015,2015CalfOf1701,5
1703,2001,3103,
1703,2005,3503,4
1703,2008,3803,3
1703,2015,2015CalfOf1703,7
1704,1997,2704,
1705,1996,2605,
1705,2004,3405,8
1705,2007,3750,3
1705,2012,2012CalfOf1705,5
1707,1997,2707,
1710,1987,1711,
1710,1991,2110,4
1710,1996,1996CalfOf1710,5
1710,2001,3110,5
1710,2007,3792,6
1711,2003,3311,
1711,2009,3996,6
1711,2017,2017CalfOf1711,8
1713,1988,1808,
1802,2003,3302,
1802,2006,3602,3
1802,2008,3802,2
1802,2011,4102,3
1810,1994,1994CalfOf1810,
1810,1998,2810,4
1810,2002,3290,4
1810,2007,3794,5
1810,2016,2016CalfOf1810,9
1812,1996,1996CalfOf1812,
1812,2002,2002CalfOf1812,6
1812,2004,3680,2
1812,2008,3812,4
1812,2012,4212,4
1812,2016,2016CalfOf1812,4
1814,2007,3790,
1815,1996,2615,
1815,2001,3115,5
1817,1996,2617,
1817,2003,3317,7
1817,2006,3617,3
1817,2009,2009CalfOf1817,3
1911,2001,3120,
1911,2004,3411,3
1911,2007,3711,3
1911,2011,4111,4
1933,2001,2001CalfOf1933,
1946,1997,2746,
1946,2003,3346,6
1946,2006,3646,3
1946,2009,3992,3
1946,2013,4346,4
1950,1997,2750,
1950,2003,3350,6
1950,2006,3650,3
1950,2010,4050,4
1950,2015,2015CalfOf1950,5
1970,1996,1996CalfOf1970,
1970,2001,2001CalfOf1970,5
1970,2005,3580,4
1970,2009,2009CalfOf1970,4
2029,2003,3329,
2029,2006,3629,3
2029,2011,4129,5
2040,2002,3230,
2040,2005,3520,3
2040,2008,3860,3
2040,2011,4140,3
2040,2014,4440,3
2042,2013,2013CalfOf2042,
2050,2001,3150,
2114,2003,3314,
2123,2001,2001CalfOf2123,
2123,2003,3323,2
2123,2006,3623,3
2123,2009,3923,3
2123,2014,4423,5
2145,2001,3170,
2145,2004,3445,3
2145,2007,2007CalfOf2145,3
2145,2009,3945,2
2145,2015,4545,6
2150,2001,3180,
2210,1999,2940,
2223,2005,3523,
2223,2009,3998,4
2223,2015,4523,6
2240,2001,3130,
2301,2003,3310,
2320,2006,3670,
2320,2009,3993,3
2320,2013,4320,4
2330,2004,3430,
2330,2008,3830,4
2330,2013,4330,5
2360,2004,3460,
2360,2007,3760,3
2360,2010,4060,3
2413,2005,3513,
2413,2011,2011CalfOf2413,6
2413,2013,4313,2
2420,1994,1994CalfOf2420,
2420,2002,2002CalfOf2420,8
2420,2006,2006CalfOf2420,4
2420,2011,4120,5
2430,2007,3730,
2430,2010,4030,3
2460,2004,3420,
2460,2007,3710,3
2460,2010,4070,3
2503,2006,3620,
2503,2009,3980,3
2503,2014,2014CalfOf2503,5
2520,1995,1995CalfOf2520,
2520,1999,3060,4
2520,2003,3330,4
2520,2009,3999,6
2520,2016,4620,7
2601,2007,3740,
2605,2007,3705,
2605,2010,4005,3
2605,2015,2015CalfOf2605,5
2610,1996,2611,
2611,2007,2007CalfOf2611,
2611,2009,3911,2
2611,2015,2015CalfOf2611,6
2614,2004,3414,
2614,2007,3714,3
2614,2010,4014,3
2614,2017,2017CalfOf2614,7
2642,2007,3742,
2642,2010,4091,3
2645,2005,3597,
2645,2007,3745,2
2645,2010,4045,3
2645,2014,4445,4
2660,2006,3660,
2660,2009,3910,3
2660,2011,4160,2
2710,2006,3630,
2710,2010,4010,4
2746,2007,3746,
2746,2011,4146,4
2746,2014,4446,3
2753,2008,3853,
2753,2013,4353,5
2790,2005,3594,
2790,2008,3890,3
2790,2011,4190,3
2790,2015,2015CalfOf2790,4
2791,2006,3691,
2791,2009,3991,3
2791,2019,2019CalfOf2791,10
2912,2007,3712,
2912,2013,2013CalfOf2912,6
3010,2005,3510,
3010,2011,4110,6
3020,2008,3820,
3020,2011,2011CalfOf3020,3
3101,2009,3901,
3101,2016,4601,7
3108,2009,3920,
3115,2008,3815,
3115,2011,4115,3
3115,2016,4615,5
3123,2010,4023,
3130,2008,3810,
3130,2011,4191,3
3139,2009,2009CalfOf3139,
3139,2015,2015CalfOf3139,6
3142,2010,4042,
3157,2010,4057,
3157,2014,4457,4
3180,2008,3880,
3180,2010,4080,2
3180,2016,2016CalfOf3180,6
3220,2002,2002CalfOf3220,
3220,2012,4220,10
3232,2015,2015CalfOf3232,
3240,2011,4194,
3260,2010,4096,
3270,2011,2011CalfOf3270,
3280,2007,2007CalfOf3280,
3290,2009,3990,
3292,2008,3892,
3292,2015,2015CalfOf3292,7
3293,2008,3893,
3293,2011,4193,3
3294,2013,4394,
3317,2009,3917,
3317,2016,4617,7
3320,2009,3970,
3360,2007,3791,
3360,2010,4090,3
3370,2009,3997,
3390,2012,4290,
3405,2016,2016CalfOf3405,
3420,2015,2015CalfOf3420,
3430,2011,4130,
3440,2009,3940,
3440,2016,2016CalfOf3440,7
3450,2016,2016CalfOf3450,
3513,2013,2013CalfOf3513,
3515,2013,4310,
3520,2013,2013CalfOf3520,
3540,2013,2013CalfOf3540,
3546,2014,2014CalfOf3546,
3646,2015,4546,
3692,2013,2013CalfOf3692,
3693,2015,2015CalfOf3693,
3860,2016,2016CalfOf3860,
3995,2012,2012CalfOf3995,
4094,2016,4694,
